"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"1",2016-04-01,2019-06-30,119996.43,38,4
"2",2016-03-11,2018-12-31,590000,33,3
"3",2020-07-13,2022-07-30,338506.47,24,2
"4",2016-02-11,2018-01-31,6250.01,23,2
"5",2018-10-08,2018-10-11,5000,0,1
"6",2017-11-22,2017-11-26,11365.5,0,1
"7",2018-02-10,2018-02-18,1483.2,0,1
"8",2018-09-18,2020-12-31,150000,27,3
"9",2015-11-06,2016-02-19,5356.38,3,1
"10",2019-03-06,2019-11-15,5000,8,1
"11",2018-04-16,2019-01-31,5000.01,9,1
"12",2018-11-06,2018-11-08,2128,0,1
"13",2017-06-26,2020-02-29,8e+05,32,3
"14",2019-11-11,2020-12-15,75428.46,13,2
"15",2018-02-02,2018-06-30,5000.01,4,1
"16",2020-09-01,2023-03-31,268000,30,3
"17",2015-01-01,2019-12-31,143199.78,59,5
"18",2020-03-30,2021-12-31,760000,21,2
"19",2019-11-20,2022-09-30,220000,34,3
"20",2020-02-10,2020-12-31,80000,10,1
"21",2020-02-26,2021-09-30,56801.26,19,2
"22",2017-06-19,2017-10-31,34500,4,1
"23",2016-01-04,2016-07-10,82630.01,6,1
"24",2021-01-15,2022-04-10,7500,14,2
"25",2021-06-03,2022-09-02,5000,14,2
"26",2020-01-01,2021-12-31,185600,23,2
"27",2018-05-01,2021-03-31,334103,34,3
"28",2021-04-09,2022-04-11,10000,12,1
"29",2019-11-04,2020-05-31,28887.39,6,1
"30",2018-06-13,2019-05-31,5000.01,11,1
"31",2018-06-13,2019-05-31,5000.01,11,1
"32",2019-06-17,2021-11-03,15625.01,28,3
"33",2016-04-25,2019-04-24,747846.37,35,3
"34",2019-03-13,2019-11-27,5000,8,1
"35",2015-10-01,2016-03-31,129303.11,5,1
"36",2019-03-15,2020-05-14,99749.1,13,2
"37",2019-11-11,2020-10-31,33830.83,11,1
"38",2020-09-01,2022-06-30,567564,21,2
"39",2015-01-04,2017-11-30,17532.65,34,3
"40",2020-09-14,2020-11-30,14900,2,1
"41",2019-10-01,2022-09-30,847887.95,35,3
"42",2019-09-01,2020-12-31,67138.56,15,2
"43",2017-08-15,2018-04-30,38563.88,8,1
"44",2017-05-30,2019-11-30,315322.18,30,3
"45",2018-01-19,2018-01-20,1701,0,1
"46",2016-09-27,2017-12-26,3600,14,2
"47",2020-05-13,2020-11-30,4781.26,6,1
"48",2018-11-01,2019-03-31,35147.14,4,1
"49",2017-05-16,2017-08-18,8000,3,1
"50",2019-01-07,2020-03-13,24906.25,14,2
"51",2017-04-24,2018-08-31,5000.01,16,2
"52",2019-11-18,2020-09-30,136372.56,10,1
"53",2020-11-10,2022-06-30,352470.86,19,2
"54",2016-11-08,2017-08-15,19861.26,9,1
"55",2018-11-30,2019-01-10,7500,1,1
"56",2015-04-01,2016-12-31,144696.34,20,2
"57",2020-08-07,2023-04-30,499896,32,3
"58",2016-11-11,2017-06-09,18346.99,6,1
"59",2017-01-10,2021-12-31,3e+05,59,5
"60",2015-07-23,2022-12-31,791962,89,8
"61",2017-03-15,2019-10-31,1400000,31,3
"62",2020-01-03,2022-02-28,2760446,25,3
"63",2016-10-24,2018-12-31,812400,26,3
"64",2021-05-01,2021-10-31,12455,5,1
"65",2018-06-04,2019-12-31,880000,18,2
"66",2021-01-01,2021-10-31,285000,9,1
"67",2016-07-01,2019-06-30,278867.5,35,3
"68",2019-04-01,2022-03-31,504983.84,35,3
"69",2017-01-03,2020-02-29,289919.98,37,4
"70",2020-09-10,2021-12-31,220091.13,15,2
"71",2020-02-11,2021-03-31,95600,13,2
"72",2015-02-02,2015-09-30,5350.01,7,1
"73",2019-09-19,2020-07-05,5000,9,1
"74",2017-11-01,2020-10-31,3664292.07,35,3
"75",2016-11-15,2020-05-31,1236991.1,42,4
"76",2019-05-15,2022-09-15,478874,40,4
"77",2020-09-21,2022-09-20,250000,23,2
"78",2017-06-12,2019-06-30,118946.25,24,2
"79",2015-08-20,2016-12-23,134600,16,2
"80",2017-01-17,2017-07-31,5000.01,6,1
"81",2019-03-15,2019-12-30,16876.88,9,1
"82",2016-01-21,2016-07-31,3750.01,6,1
"83",2017-01-01,2020-06-30,244319.98,41,4
"84",2019-12-11,2022-06-30,301200,30,3
"85",2019-02-05,2020-02-29,13262.07,12,1
"86",2018-11-01,2020-01-31,66000,14,2
"87",2019-11-01,2020-05-31,51626.22,6,1
"88",2018-09-11,2019-05-31,5000,8,1
"89",2016-03-29,2018-03-28,172888.55,23,2
"90",2018-03-19,2019-01-31,6250.01,10,1
"91",2018-05-15,2019-02-28,6250.01,9,1
"92",2017-08-23,2019-01-19,3500,16,2
"93",2018-12-18,2019-04-30,5000,4,1
"94",2016-11-05,2016-11-09,3981.25,0,1
"95",2020-02-01,2021-12-31,781952.78,22,2
"96",2016-03-01,2019-02-28,272767.28,35,3
"97",2017-03-01,2020-02-29,324744,35,3
"98",2016-04-15,2017-12-31,130000,20,2
"99",2021-03-01,2021-07-31,71896.44,4,1
"100",2019-01-11,2022-01-31,336975,36,3
